Country,DateRep,ConfirmedCases,Deaths,Recovered,Continent,Code
Australia,2020-01-30,9,0,2,Oceania,AUS
Cambodia,2020-01-30,1,0,0,Asia,KHM
Canada,2020-01-30,3,0,0,Americas,CAN
Finland,2020-01-30,1,0,0,Europe,FIN
France,2020-01-30,5,0,0,Europe,FRA
Germany,2020-01-30,4,0,0,Europe,DEU
Hong Kong SAR China,2020-01-30,10,0,0,Asia,HKG
India,2020-01-30,1,0,0,Asia,IND
Japan,2020-01-30,11,0,1,Asia,JPN
Macao SAR China,2020-01-30,7,0,0,Asia,MAC
China,2020-01-30,8124,171,135,Asia,CHN
Malaysia,2020-01-30,8,0,0,Asia,MYS
Nepal,2020-01-30,1,0,0,Asia,NPL
Philippines,2020-01-30,1,0,0,Asia,PHL
Singapore,2020-01-30,10,0,0,Asia,SGP
South Korea,2020-01-30,4,0,0,Asia,KOR
Sri Lanka,2020-01-30,1,0,0,Asia,LKA
Taiwan,2020-01-30,9,0,0,Asia,TWN
Thailand,2020-01-30,14,0,5,Asia,THA
United Arab Emirates,2020-01-30,4,0,0,Asia,ARE
United States,2020-01-30,5,0,0,Americas,USA
Vietnam,2020-01-30,2,0,0,Asia,VNM
Australia,2020-01-31,9,0,2,Oceania,AUS
Cambodia,2020-01-31,1,0,0,Asia,KHM
Canada,2020-01-31,3,0,0,Americas,CAN
Finland,2020-01-31,1,0,0,Europe,FIN
France,2020-01-31,5,0,0,Europe,FRA
Germany,2020-01-31,5,0,0,Europe,DEU
Hong Kong SAR China,2020-01-31,12,0,0,Asia,HKG
India,2020-01-31,1,0,0,Asia,IND
Italy,2020-01-31,2,0,0,Europe,ITA
Japan,2020-01-31,15,0,1,Asia,JPN
Macao SAR China,2020-01-31,7,0,0,Asia,MAC
China,2020-01-31,9783,213,214,Asia,CHN
Malaysia,2020-01-31,8,0,0,Asia,MYS
Nepal,2020-01-31,1,0,0,Asia,NPL
Philippines,2020-01-31,1,0,0,Asia,PHL
Russia,2020-01-31,2,0,0,Europe,RUS
Singapore,2020-01-31,13,0,0,Asia,SGP
South Korea,2020-01-31,11,0,0,Asia,KOR
Sri Lanka,2020-01-31,1,0,0,Asia,LKA
Sweden,2020-01-31,1,0,0,Europe,SWE
Taiwan,2020-01-31,10,0,0,Asia,TWN
Thailand,2020-01-31,19,0,5,Asia,THA
United Kingdom,2020-01-31,2,0,0,Europe,GBR
United Arab Emirates,2020-01-31,4,0,0,Asia,ARE
United States,2020-01-31,6,0,0,Americas,USA
Vietnam,2020-01-31,2,0,0,Asia,VNM
Australia,2020-02-01,12,0,2,Oceania,AUS
Cambodia,2020-02-01,1,0,0,Asia,KHM
Canada,2020-02-01,4,0,0,Americas,CAN
Finland,2020-02-01,1,0,0,Europe,FIN
France,2020-02-01,6,0,0,Europe,FRA
Germany,2020-02-01,8,0,0,Europe,DEU
Hong Kong SAR China,2020-02-01,13,0,0,Asia,HKG
India,2020-02-01,1,0,0,Asia,IND
Italy,2020-02-01,2,0,0,Europe,ITA
Japan,2020-02-01,20,0,1,Asia,JPN
Macao SAR China,2020-02-01,7,0,0,Asia,MAC
China,2020-02-01,11871,259,275,Asia,CHN
Malaysia,2020-02-01,8,0,0,Asia,MYS
Nepal,2020-02-01,1,0,0,Asia,NPL
Philippines,2020-02-01,1,0,0,Asia,PHL
Russia,2020-02-01,2,0,0,Europe,RUS
Singapore,2020-02-01,16,0,0,Asia,SGP
South Korea,2020-02-01,12,0,0,Asia,KOR
Spain,2020-02-01,1,0,0,Europe,ESP
Sri Lanka,2020-02-01,1,0,0,Asia,LKA
Sweden,2020-02-01,1,0,0,Europe,SWE
Taiwan,2020-02-01,10,0,0,Asia,TWN
Thailand,2020-02-01,19,0,5,Asia,THA
United Kingdom,2020-02-01,2,0,0,Europe,GBR
United Arab Emirates,2020-02-01,4,0,0,Asia,ARE
United States,2020-02-01,8,0,0,Americas,USA
Vietnam,2020-02-01,6,0,1,Asia,VNM
Australia,2020-02-02,12,0,2,Oceania,AUS
Cambodia,2020-02-02,1,0,0,Asia,KHM
Canada,2020-02-02,4,0,0,Americas,CAN
Finland,2020-02-02,1,0,0,Europe,FIN
France,2020-02-02,6,0,0,Europe,FRA
Germany,2020-02-02,10,0,0,Europe,DEU
Hong Kong SAR China,2020-02-02,15,0,0,Asia,HKG
India,2020-02-02,2,0,0,Asia,IND
Italy,2020-02-02,2,0,0,Europe,ITA
Japan,2020-02-02,20,0,1,Asia,JPN
Macao SAR China,2020-02-02,8,0,0,Asia,MAC
China,2020-02-02,16607,361,463,Asia,CHN
Malaysia,2020-02-02,8,0,0,Asia,MYS
Nepal,2020-02-02,1,0,0,Asia,NPL
Philippines,2020-02-02,2,1,0,Asia,PHL
Russia,2020-02-02,2,0,0,Europe,RUS
Singapore,2020-02-02,18,0,0,Asia,SGP
South Korea,2020-02-02,15,0,0,Asia,KOR
Spain,2020-02-02,1,0,0,Europe,ESP
Sri Lanka,2020-02-02,1,0,0,Asia,LKA
Sweden,2020-02-02,1,0,0,Europe,SWE
Taiwan,2020-02-02,10,0,0,Asia,TWN
Thailand,2020-02-02,19,0,5,Asia,THA
United Kingdom,2020-02-02,2,0,0,Europe,GBR
United Arab Emirates,2020-02-02,5,0,0,Asia,ARE
United States,2020-02-02,8,0,0,Americas,USA
Vietnam,2020-02-02,6,0,1,Asia,VNM
Australia,2020-02-03,12,0,2,Oceania,AUS
Cambodia,2020-02-03,1,0,0,Asia,KHM
Canada,2020-02-03,4,0,0,Americas,CAN
Finland,2020-02-03,1,0,0,Europe,FIN
France,2020-02-03,6,0,0,Europe,FRA
Germany,2020-02-03,12,0,0,Europe,DEU
Hong Kong SAR China,2020-02-03,15,0,0,Asia,HKG
India,2020-02-03,3,0,0,Asia,IND
Italy,2020-02-03,2,0,0,Europe,ITA
Japan,2020-02-03,20,0,1,Asia,JPN
Macao SAR China,2020-02-03,8,0,0,Asia,MAC
China,2020-02-03,19693,425,614,Asia,CHN
Malaysia,2020-02-03,8,0,0,Asia,MYS
Nepal,2020-02-03,1,0,0,Asia,NPL
Philippines,2020-02-03,2,1,0,Asia,PHL
Russia,2020-02-03,2,0,0,Europe,RUS
Singapore,2020-02-03,18,0,0,Asia,SGP
South Korea,2020-02-03,15,0,0,Asia,KOR
Spain,2020-02-03,1,0,0,Europe,ESP
Sri Lanka,2020-02-03,1,0,0,Asia,LKA
Sweden,2020-02-03,1,0,0,Europe,SWE
Taiwan,2020-02-03,10,0,0,Asia,TWN
