Country,DateRep,ConfirmedCases,Deaths,Recovered,Capital,Continent
United Arab Emirates,2020-01-30,4,0,0,Abu Dhabi,Asia
Vietnam,2020-01-30,2,0,0,Hanoi,Asia
Australia,2020-01-31,9,0,2,Canberra,Oceania
Cambodia,2020-01-31,1,0,0,Phnom Penh,Asia
Canada,2020-01-31,3,0,0,Ottawa,America
Finland,2020-01-31,1,0,0,Helsinki,Europe
France,2020-01-31,5,0,0,Paris,Europe
Germany,2020-01-31,5,0,0,Berlin,Europe
India,2020-01-31,1,0,0,New Delhi,Asia
Italy,2020-01-31,2,0,0,Italian,Europe
Japan,2020-01-31,15,0,1,Tokyo,Asia
China,2020-01-31,9783,213,214,Beijing,Asia
Malaysia,2020-01-31,8,0,0,Kuala Lumpur,Asia
Nepal,2020-01-31,1,0,0,Kathmandu,Asia
Philippines,2020-01-31,1,0,0,Manila,Asia
Russia,2020-01-31,2,0,0,Moscow,Europe
Singapore,2020-01-31,13,0,0,Singapore,Asia
South Korea,2020-01-31,11,0,0,Seoul,Asia
Sri Lanka,2020-01-31,1,0,0,Sri Jayawardenapura Kotte,Asia
Sweden,2020-01-31,1,0,0,Stockholm,Europe
Taiwan,2020-01-31,10,0,0,Taipei,Asia
Thailand,2020-01-31,19,0,5,Bangkok,Asia
United Kingdom,2020-01-31,2,0,0,London,Europe
United Arab Emirates,2020-01-31,4,0,0,Abu Dhabi,Asia
Vietnam,2020-01-31,2,0,0,Hanoi,Asia
Australia,2020-02-01,12,0,2,Canberra,Oceania
Cambodia,2020-02-01,1,0,0,Phnom Penh,Asia
Canada,2020-02-01,4,0,0,Ottawa,America
Finland,2020-02-01,1,0,0,Helsinki,Europe
France,2020-02-01,6,0,0,Paris,Europe
Germany,2020-02-01,8,0,0,Berlin,Europe
India,2020-02-01,1,0,0,New Delhi,Asia
Italy,2020-02-01,2,0,0,Italian,Europe
Japan,2020-02-01,20,0,1,Tokyo,Asia
China,2020-02-01,11871,259,275,Beijing,Asia
Malaysia,2020-02-01,8,0,0,Kuala Lumpur,Asia
Nepal,2020-02-01,1,0,0,Kathmandu,Asia
Philippines,2020-02-01,1,0,0,Manila,Asia
Russia,2020-02-01,2,0,0,Moscow,Europe
Singapore,2020-02-01,16,0,0,Singapore,Asia
South Korea,2020-02-01,12,0,0,Seoul,Asia
Spain,2020-02-01,1,0,0,Madrid,Europe
Sri Lanka,2020-02-01,1,0,0,Sri Jayawardenapura Kotte,Asia
Sweden,2020-02-01,1,0,0,Stockholm,Europe
Taiwan,2020-02-01,10,0,0,Taipei,Asia
Thailand,2020-02-01,19,0,5,Bangkok,Asia
United Kingdom,2020-02-01,2,0,0,London,Europe
United Arab Emirates,2020-02-01,4,0,0,Abu Dhabi,Asia
Vietnam,2020-02-01,6,0,1,Hanoi,Asia
Australia,2020-02-02,12,0,2,Canberra,Oceania
Cambodia,2020-02-02,1,0,0,Phnom Penh,Asia
Canada,2020-02-02,4,0,0,Ottawa,America
Finland,2020-02-02,1,0,0,Helsinki,Europe
France,2020-02-02,6,0,0,Paris,Europe
Germany,2020-02-02,10,0,0,Berlin,Europe
India,2020-02-02,2,0,0,New Delhi,Asia
Italy,2020-02-02,2,0,0,Italian,Europe
Japan,2020-02-02,20,0,1,Tokyo,Asia
China,2020-02-02,16607,361,463,Beijing,Asia
Malaysia,2020-02-02,8,0,0,Kuala Lumpur,Asia
Nepal,2020-02-02,1,0,0,Kathmandu,Asia
Philippines,2020-02-02,2,1,0,Manila,Asia
Russia,2020-02-02,2,0,0,Moscow,Europe
Singapore,2020-02-02,18,0,0,Singapore,Asia
South Korea,2020-02-02,15,0,0,Seoul,Asia
Spain,2020-02-02,1,0,0,Madrid,Europe
Sri Lanka,2020-02-02,1,0,0,Sri Jayawardenapura Kotte,Asia
Sweden,2020-02-02,1,0,0,Stockholm,Europe
Taiwan,2020-02-02,10,0,0,Taipei,Asia
Thailand,2020-02-02,19,0,5,Bangkok,Asia
United Kingdom,2020-02-02,2,0,0,London,Europe
United Arab Emirates,2020-02-02,5,0,0,Abu Dhabi,Asia
Vietnam,2020-02-02,6,0,1,Hanoi,Asia
Australia,2020-02-03,12,0,2,Canberra,Oceania
Cambodia,2020-02-03,1,0,0,Phnom Penh,Asia
Canada,2020-02-03,4,0,0,Ottawa,America
Finland,2020-02-03,1,0,0,Helsinki,Europe
France,2020-02-03,6,0,0,Paris,Europe
Germany,2020-02-03,12,0,0,Berlin,Europe
India,2020-02-03,3,0,0,New Delhi,Asia
Italy,2020-02-03,2,0,0,Italian,Europe
Japan,2020-02-03,20,0,1,Tokyo,Asia
China,2020-02-03,19693,425,614,Beijing,Asia
Malaysia,2020-02-03,8,0,0,Kuala Lumpur,Asia
Nepal,2020-02-03,1,0,0,Kathmandu,Asia
Philippines,2020-02-03,2,1,0,Manila,Asia
Russia,2020-02-03,2,0,0,Moscow,Europe
Singapore,2020-02-03,18,0,0,Singapore,Asia
South Korea,2020-02-03,15,0,0,Seoul,Asia
Spain,2020-02-03,1,0,0,Madrid,Europe
Sri Lanka,2020-02-03,1,0,0,Sri Jayawardenapura Kotte,Asia
Sweden,2020-02-03,1,0,0,Stockholm,Europe
Taiwan,2020-02-03,10,0,0,Taipei,Asia
Thailand,2020-02-03,19,0,5,Bangkok,Asia
United Kingdom,2020-02-03,2,0,0,London,Europe
United Arab Emirates,2020-02-03,5,0,0,Abu Dhabi,Asia
Vietnam,2020-02-03,8,0,1,Hanoi,Asia
Australia,2020-02-04,13,0,2,Canberra,Oceania
Belgium,2020-02-04,1,0,0,Brussels,Europe
Cambodia,2020-02-04,1,0,0,Phnom Penh,Asia
Canada,2020-02-04,4,0,0,Ottawa,America
Finland,2020-02-04,1,0,0,Helsinki,Europe
France,2020-02-04,6,0,0,Paris,Europe
Germany,2020-02-04,12,0,0,Berlin,Europe
India,2020-02-04,3,0,0,New Delhi,Asia
Italy,2020-02-04,2,0,0,Italian,Europe
Japan,2020-02-04,22,0,1,Tokyo,Asia
China,2020-02-04,23680,490,843,Beijing,Asia
Malaysia,2020-02-04,10,0,0,Kuala Lumpur,Asia
Nepal,2020-02-04,1,0,0,Kathmandu,Asia
Philippines,2020-02-04,2,1,0,Manila,Asia
Russia,2020-02-04,2,0,0,Moscow,Europe
Singapore,2020-02-04,24,0,0,Singapore,Asia
South Korea,2020-02-04,16,0,0,Seoul,Asia
Spain,2020-02-04,1,0,0,Madrid,Europe
Sri Lanka,2020-02-04,1,0,0,Sri Jayawardenapura Kotte,Asia
Sweden,2020-02-04,1,0,0,Stockholm,Europe
Taiwan,2020-02-04,11,0,0,Taipei,Asia
Thailand,2020-02-04,25,0,5,Bangkok,Asia
United Kingdom,2020-02-04,2,0,0,London,Europe
United Arab Emirates,2020-02-04,5,0,0,Abu Dhabi,Asia
Vietnam,2020-02-04,8,0,1,Hanoi,Asia
Australia,2020-02-05,13,0,2,Canberra,Oceania
Belgium,2020-02-05,1,0,0,Brussels,Europe
Cambodia,2020-02-05,1,0,0,Phnom Penh,Asia
Canada,2020-02-05,5,0,0,Ottawa,America
Finland,2020-02-05,1,0,0,Helsinki,Europe
France,2020-02-05,6,0,0,Paris,Europe
Germany,2020-02-05,12,0,0,Berlin,Europe
India,2020-02-05,3,0,0,New Delhi,Asia
Italy,2020-02-05,2,0,0,Italian,Europe
Japan,2020-02-05,22,0,1,Tokyo,Asia
China,2020-02-05,27409,562,1115,Beijing,Asia
Malaysia,2020-02-05,12,0,0,Kuala Lumpur,Asia
Nepal,2020-02-05,1,0,0,Kathmandu,Asia
Philippines,2020-02-05,2,1,0,Manila,Asia
Russia,2020-02-05,2,0,0,Moscow,Europe
Singapore,2020-02-05,28,0,0,Singapore,Asia
South Korea,2020-02-05,19,0,0,Seoul,Asia
Spain,2020-02-05,1,0,0,Madrid,Europe
Sri Lanka,2020-02-05,1,0,0,Sri Jayawardenapura Kotte,Asia
Sweden,2020-02-05,1,0,0,Stockholm,Europe
Taiwan,2020-02-05,11,0,0,Taipei,Asia
Thailand,2020-02-05,25,0,5,Bangkok,Asia
United Kingdom,2020-02-05,2,0,0,London,Europe
United Arab Emirates,2020-02-05,5,0,0,Abu Dhabi,Asia
Vietnam,2020-02-05,8,0,1,Hanoi,Asia
Australia,2020-02-06,14,0,2,Canberra,Oceania
Belgium,2020-02-06,1,0,0,Brussels,Europe
Cambodia,2020-02-06,1,0,0,Phnom Penh,Asia
Canada,2020-02-06,5,0,0,Ottawa,America
Finland,2020-02-06,1,0,0,Helsinki,Europe
France,2020-02-06,6,0,0,Paris,Europe
Germany,2020-02-06,12,0,0,Berlin,Europe
India,2020-02-06,3,0,0,New Delhi,Asia
Italy,2020-02-06,2,0,0,Italian,Europe
Japan,2020-02-06,45,0,1,Tokyo,Asia
China,2020-02-06,30553,632,1476,Beijing,Asia
Malaysia,2020-02-06,12,0,0,Kuala Lumpur,Asia
Nepal,2020-02-06,1,0,0,Kathmandu,Asia
Philippines,2020-02-06,2,1,0,Manila,Asia
Russia,2020-02-06,2,0,0,Moscow,Europe
Singapore,2020-02-06,28,0,0,Singapore,Asia
South Korea,2020-02-06,23,0,0,Seoul,Asia
Spain,2020-02-06,1,0,0,Madrid,Europe
Sri Lanka,2020-02-06,1,0,0,Sri Jayawardenapura Kotte,Asia
Sweden,2020-02-06,1,0,0,Stockholm,Europe
Taiwan,2020-02-06,16,0,1,Taipei,Asia
Thailand,2020-02-06,25,0,5,Bangkok,Asia
United Kingdom,2020-02-06,2,0,0,London,Europe
United Arab Emirates,2020-02-06,5,0,0,Abu Dhabi,Asia
Vietnam,2020-02-06,10,0,1,Hanoi,Asia
Australia,2020-02-07,15,0,2,Canberra,Oceania
Belgium,2020-02-07,1,0,0,Brussels,Europe
Cambodia,2020-02-07,1,0,0,Phnom Penh,Asia
Canada,2020-02-07,7,0,0,Ottawa,America
Finland,2020-02-07,1,0,0,Helsinki,Europe
France,2020-02-07,6,0,0,Paris,Europe
Germany,2020-02-07,13,0,0,Berlin,Europe
India,2020-02-07,3,0,0,New Delhi,Asia
Italy,2020-02-07,3,0,0,Italian,Europe
Japan,2020-02-07,25,0,1,Tokyo,Asia
China,2020-02-07,34075,717,1998,Beijing,Asia
Malaysia,2020-02-07,12,0,1,Kuala Lumpur,Asia
Nepal,2020-02-07,1,0,0,Kathmandu,Asia
Philippines,2020-02-07,3,1,0,Manila,Asia
Russia,2020-02-07,2,0,0,Moscow,Europe
Singapore,2020-02-07,30,0,0,Singapore,Asia
South Korea,2020-02-07,24,0,1,Seoul,Asia
Spain,2020-02-07,1,0,0,Madrid,Europe
Sri Lanka,2020-02-07,1,0,0,Sri Jayawardenapura Kotte,Asia
Sweden,2020-02-07,1,0,0,Stockholm,Europe
Taiwan,2020-02-07,16,0,1,Taipei,Asia
Thailand,2020-02-07,25,0,5,Bangkok,Asia
United Kingdom,2020-02-07,3,0,0,London,Europe
United Arab Emirates,2020-02-07,5,0,0,Abu Dhabi,Asia
Vietnam,2020-02-07,10,0,1,Hanoi,Asia
Australia,2020-02-08,15,0,2,Canberra,Oceania
Belgium,2020-02-08,1,0,0,Brussels,Europe
Cambodia,2020-02-08,1,0,0,Phnom Penh,Asia
Canada,2020-02-08,7,0,0,Ottawa,America
Finland,2020-02-08,1,0,0,Helsinki,Europe
France,2020-02-08,11,0,0,Paris,Europe
Germany,2020-02-08,13,0,0,Berlin,Europe
India,2020-02-08,3,0,0,New Delhi,Asia
Italy,2020-02-08,3,0,0,Italian,Europe
Japan,2020-02-08,25,0,1,Tokyo,Asia
China,2020-02-08,36778,804,2595,Beijing,Asia
Malaysia,2020-02-08,16,0,1,Kuala Lumpur,Asia
Nepal,2020-02-08,1,0,0,Kathmandu,Asia
Philippines,2020-02-08,3,1,0,Manila,Asia
Russia,2020-02-08,2,0,0,Moscow,Europe
Singapore,2020-02-08,33,0,2,Singapore,Asia
South Korea,2020-02-08,24,0,1,Seoul,Asia
Spain,2020-02-08,1,0,0,Madrid,Europe
Sri Lanka,2020-02-08,1,0,1,Sri Jayawardenapura Kotte,Asia
Sweden,2020-02-08,1,0,0,Stockholm,Europe
Taiwan,2020-02-08,17,0,1,Taipei,Asia
Thailand,2020-02-08,32,0,10,Bangkok,Asia
United Kingdom,2020-02-08,3,0,0,London,Europe
