Country,Code,Year,PopMale,PopFemale,PopTotal,PopDensity,Continent
Uzbekistan,UZB,2019,16450.116,16531.599,32981.715,77.531,Asia
Uzbekistan,UZB,2020,16696.918,16772.281,33469.199,78.677,Asia
Vanuatu,VUT,2019,152.038,147.844,299.882,24.601,Oceania
Vanuatu,VUT,2020,155.69,151.46,307.15,25.197,Oceania
Venezuela,VEN,2019,14045.228,14470.601,28515.829,32.329,Americas
Venezuela,VEN,2020,13984.932,14451.011,28435.943,32.238,Americas
Vietnam,VNM,2019,48151.352,48310.756,96462.108,311.098,Asia
Vietnam,VNM,2020,48598.254,48740.329,97338.583,313.925,Asia
Wallis & Futuna,WLF,2019,NA,NA,11.436,81.686,Oceania
Wallis & Futuna,WLF,2020,NA,NA,11.246,80.329,Oceania
Western Sahara,ESH,2019,304.755,277.703,582.458,2.19,Africa
Western Sahara,ESH,2020,312.26,285.07,597.33,2.246,Africa
Yemen,YEM,2019,14692.284,14469.638,29161.922,55.234,Asia
Yemen,YEM,2020,15024.985,14800.983,29825.968,56.492,Asia
Zambia,ZMB,2019,8843.214,9017.82,17861.034,24.026,Africa
Zambia,ZMB,2020,9103.006,9280.95,18383.956,24.73,Africa
Zimbabwe,ZWE,2019,6983.353,7662.12,14645.473,37.858,Africa
Zimbabwe,ZWE,2020,7092.01,7770.917,14862.927,38.42,Africa
